"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"buildroot","2019.11.1","GPL-2.0+","COPYING","not saved","not saved",""
"ccache","3.7.5","GPL-3.0+, others","LICENSE.adoc GPL-3.0.txt","ccache-3.7.5.tar.xz","https://github.com/ccache/ccache/releases/download/v3.7.5","host-skeleton [unknown]"
"gcc-final","8.3.0","unknown","","gcc-8.3.0.tar.xz","http://ftpmirror.gnu.org/gcc/gcc-8.3.0","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] host-binutils [GPL-3.0+, libiberty LGPL-2.1+] host-bison [GPL-3.0+] host-ccache [GPL-3.0+, others] host-gawk [GPL-3.0+] host-gcc-initial [unknown] host-gmp [LGPL-3.0+ or GPL-2.0+] host-m4 [GPL-3.0+] host-mpc [LGPL-3.0+] host-mpfr [LGPL-3.0+] host-skeleton [unknown] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"bison","3.4.2","GPL-3.0+","COPYING","bison-3.4.2.tar.xz","http://ftpmirror.gnu.org/bison","host-ccache [GPL-3.0+, others] host-m4 [GPL-3.0+] host-skeleton [unknown]"
"m4","1.4.18","GPL-3.0+","COPYING","m4-1.4.18.tar.xz","http://ftpmirror.gnu.org/m4","host-ccache [GPL-3.0+, others] host-skeleton [unknown]"
"gawk","5.0.1","GPL-3.0+","COPYING","gawk-5.0.1.tar.xz","http://ftpmirror.gnu.org/gawk","host-ccache [GPL-3.0+, others] host-skeleton [unknown]"
"gcc-initial","8.3.0","unknown","","gcc-8.3.0.tar.xz","http://ftpmirror.gnu.org/gcc/gcc-8.3.0","host-binutils [GPL-3.0+, libiberty LGPL-2.1+] host-ccache [GPL-3.0+, others] host-gmp [LGPL-3.0+ or GPL-2.0+] host-m4 [GPL-3.0+] host-mpc [LGPL-3.0+] host-mpfr [LGPL-3.0+] host-skeleton [unknown]"
"binutils","2.31.1","GPL-3.0+, libiberty LGPL-2.1+","COPYING3 COPYING.LIB","binutils-2.31.1.tar.xz","http://ftpmirror.gnu.org/binutils","host-ccache [GPL-3.0+, others] host-skeleton [unknown]"
"gmp","6.1.2","LGPL-3.0+ or GPL-2.0+","COPYING.LESSERv3 COPYINGv2","gmp-6.1.2.tar.xz","http://ftpmirror.gnu.org/gmp","host-ccache [GPL-3.0+, others] host-m4 [GPL-3.0+] host-skeleton [unknown]"
"mpc","1.1.0","LGPL-3.0+","COPYING.LESSER","mpc-1.1.0.tar.gz","http://ftpmirror.gnu.org/mpc","host-ccache [GPL-3.0+, others] host-gmp [LGPL-3.0+ or GPL-2.0+] host-m4 [GPL-3.0+] host-mpfr [LGPL-3.0+] host-skeleton [unknown]"
"mpfr","4.0.2","LGPL-3.0+","COPYING.LESSER","mpfr-4.0.2.tar.xz","http://www.mpfr.org/mpfr-4.0.2","host-ccache [GPL-3.0+, others] host-gmp [LGPL-3.0+ or GPL-2.0+] host-m4 [GPL-3.0+] host-skeleton [unknown]"
"e2fsprogs","1.45.4","GPL-2.0, MIT-like with advertising clause (libss and libet)","NOTICE lib/ss/mit-sipb-copyright.h lib/et/internal.h","e2fsprogs-1.45.4.tar.xz","https://cdn.kernel.org/pub/linux/kernel/people/tytso/e2fsprogs/v1.45.4","host-autoconf [GPL-3.0+ with exceptions] host-automake [GPL-2.0+] host-ccache [GPL-3.0+, others] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-libzlib [Zlib] host-m4 [GPL-3.0+] host-pkgconf [pkgconf license] host-skeleton [unknown] host-util-linux [GPL-2.0+, BSD-4-Clause, LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid), ISC (rfkill)]"
"pkgconf","1.6.1","pkgconf license","COPYING","pkgconf-1.6.1.tar.xz","https://distfiles.dereferenced.org/pkgconf","host-ccache [GPL-3.0+, others] host-skeleton [unknown]"
"util-linux","2.34","GPL-2.0+, BSD-4-Clause, LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid), ISC (rfkill)","README.licensing Documentation/licenses/COPYING.BSD-3-Clause Documentation/licenses/COPYING.BSD-4-Clause-UC Documentation/licenses/COPYING.GPL-2.0-or-later Documentation/licenses/COPYING.ISC Documentation/licenses/COPYING.LGPL-2.1-or-later","util-linux-2.34.tar.xz","https://cdn.kernel.org/pub/linux/utils/util-linux/v2.34","host-autoconf [GPL-3.0+ with exceptions] host-automake [GPL-2.0+] host-ccache [GPL-3.0+, others] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-libzlib [Zlib] host-m4 [GPL-3.0+] host-pkgconf [pkgconf license] host-skeleton [unknown]"
"autoconf","2.69","GPL-3.0+ with exceptions","COPYINGv3 COPYING.EXCEPTION","autoconf-2.69.tar.xz","http://ftpmirror.gnu.org/autoconf","host-ccache [GPL-3.0+, others] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-m4 [GPL-3.0+] host-skeleton [unknown]"
"libtool","2.4.6","GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)","COPYING libltdl/COPYING.LIB","libtool-2.4.6.tar.xz","http://ftpmirror.gnu.org/libtool","host-ccache [GPL-3.0+, others] host-m4 [GPL-3.0+] host-skeleton [unknown]"
